"Sep=;"
Consumer Insights Global - United States of America 2022 Update 4
Filter: -

"Ethnicity - United States"
"Which of the following best describes you? (single-pick) Base: all respondents"
""
"Ethnicity - United States Question: Which of the following best describes you? (single-pick) Base: all respondents";"Age (basic) Question: How old are you? (single-pick) Base: all respondents";"";"";""
"Answers";"Total - Age (basic)";"18 - 29 years";"30 - 49 years";"50 - 64 years"
"Base";"100%";"100%";"100%";"100%"
"American Indian or Alaskan Native";"0%";"1%";"0%";"0%"
"Asian";"5%";"6%";"4%";"4%"
"Black or African American";"15%";"24%";"12%";"10%"
"Native Hawaiian or other Pacific Islander";"0%";"1%";"0%";"0%"
"White / Caucasian";"70%";"52%";"74%";"80%"
"Other (ethnicities with a share of less than 1%)";"4%";"8%";"4%";"3%"
"Multiple ethnicities";"3%";"5%";"3%";"2%"
"Would rather not say";"3%";"5%";"2%";"2%"
""
"State - United States"
"Where do you currently live? (single-pick) Base: all respondents"
""
"State - United States Question: Where do you currently live? (single-pick) Base: all respondents";"Age (basic) Question: How old are you? (single-pick) Base: all respondents";"";"";""
"Answers";"Total - Age (basic)";"18 - 29 years";"30 - 49 years";"50 - 64 years"
"Base";"100%";"100%";"100%";"100%"
"Alabama";"2%";"2%";"2%";"2%"
"Alaska";"0%";"0%";"0%";"0%"
"Arizona";"2%";"3%";"2%";"2%"
"Arkansas";"1%";"1%";"1%";"1%"
"California";"11%";"11%";"13%";"8%"
"Colorado";"2%";"2%";"2%";"1%"
"Connecticut";"1%";"1%";"1%";"1%"
"Delaware";"0%";"0%";"0%";"0%"
"District of Columbia (D.C.)";"0%";"0%";"0%";"0%"
"Florida";"6%";"6%";"6%";"7%"
"Georgia";"3%";"4%";"3%";"3%"
"Hawaii";"1%";"0%";"1%";"1%"
"Idaho";"0%";"0%";"0%";"0%"
"Illinois";"4%";"4%";"4%";"4%"
"Indiana";"2%";"2%";"2%";"3%"
"Iowa";"1%";"1%";"1%";"1%"
"Kansas";"1%";"1%";"1%";"1%"
"Kentucky";"2%";"2%";"2%";"2%"
"Louisiana";"1%";"2%";"1%";"1%"
"Maine";"0%";"0%";"0%";"1%"
"Maryland";"1%";"2%";"1%";"2%"
"Massachusetts";"2%";"1%";"1%";"2%"
"Michigan";"3%";"3%";"3%";"4%"
"Minnesota";"1%";"1%";"1%";"2%"
"Mississippi";"1%";"1%";"1%";"1%"
"Missouri";"2%";"2%";"2%";"3%"
"Montana";"0%";"0%";"0%";"0%"
"Nebraska";"1%";"1%";"1%";"1%"
"Nevada";"1%";"1%";"1%";"1%"
"New Hampshire";"0%";"0%";"0%";"0%"
"New Jersey";"2%";"2%";"2%";"3%"
"New Mexico";"1%";"1%";"0%";"1%"
"New York";"8%";"7%";"9%";"6%"
"North Carolina";"3%";"3%";"3%";"3%"
"North Dakota";"0%";"0%";"0%";"0%"
"Ohio";"5%";"4%";"4%";"5%"
"Oklahoma";"1%";"1%";"1%";"1%"
"Oregon";"1%";"1%";"1%";"1%"
"Pennsylvania";"5%";"4%";"4%";"5%"
"Rhode Island";"0%";"0%";"0%";"0%"
"South Carolina";"1%";"1%";"1%";"2%"
"South Dakota";"0%";"0%";"0%";"0%"
"Tennessee";"2%";"2%";"2%";"2%"
"Texas";"8%";"8%";"8%";"6%"
"Utah";"1%";"1%";"1%";"1%"
"Vermont";"0%";"0%";"0%";"0%"
"Virginia";"2%";"2%";"2%";"2%"
"Washington";"2%";"2%";"2%";"2%"
"West Virginia";"1%";"1%";"1%";"1%"
"Wisconsin";"2%";"1%";"1%";"2%"
"Wyoming";"0%";"0%";"0%";"0%"
""
"Gender"
"What is your gender? (single-pick) Base: all respondents"
""
"Gender Question: What is your gender? (single-pick) Base: all respondents";"Age (basic) Question: How old are you? (single-pick) Base: all respondents";"";"";""
"Answers";"Total - Age (basic)";"18 - 29 years";"30 - 49 years";"50 - 64 years"
"Base";"100%";"100%";"100%";"100%"
"Female";"50%";"53%";"48%";"51%"
"Male";"50%";"47%";"52%";"49%"
""
"Household income (low, medium, high)"
"Recode based on Monthly/annual household income (local currency) (single-pick) Base: respondents who gave information about their income"
""
"Household income (low, medium, high) Question: Recode based on Monthly/annual household income (local currency) (single-pick) Base: respondents who gave information about their income";"Age (basic) Question: How old are you? (single-pick) Base: all respondents";"";"";""
"Answers";"Total - Age (basic)";"18 - 29 years";"30 - 49 years";"50 - 64 years"
"Base";"100%";"100%";"100%";"100%"
"High income (top 33% of households)";"34%";"25%";"40%";"32%"
"Medium income (mid 33% of households)";"33%";"33%";"31%";"35%"
"Low income (bottom 33% of households)";"33%";"42%";"29%";"32%"
""
"Music and show preferences by genre"
"Recode based on Radio content preferences by genre and Digital audio preferences by genre (music or podcasts) (multi-pick) Base: respondents who listen to the radio or digital music content (Media & digital media, Video games)"
""
"Music and show preferences by genre Question: Recode based on Radio content preferences by genre and Digital audio preferences by genre (music or podcasts) (multi-pick) Base: respondents who listen to the radio or digital music content (Media & digital media, Video games)";"Age (basic) Question: How old are you? (single-pick) Base: all respondents";"";"";""
"Answers (12/17)";"Total - Age (basic)";"18 - 29 years";"30 - 49 years";"50 - 64 years"
"Base";"100%";"100%";"100%";"100%"
"Classical music";"25%";"22%";"30%";"20%"
"Country music";"40%";"33%";"45%";"39%"
"Dance / electronic music";"26%";"29%";"30%";"16%"
"Folk music (only shown to respondents in the United Kingdom, and the United States)";"14%";"13%";"17%";"8%"
"Jazz and blues";"20%";"16%";"22%";"22%"
"Pop / adult contemporary music";"41%";"42%";"42%";"38%"
"Religious";"16%";"11%";"17%";"19%"
"Rock / alternative / indie music";"46%";"38%";"44%";"55%"
"Urban music (hip hop, R&B, etc.)";"37%";"44%";"43%";"22%"
"World music";"13%";"13%";"15%";"8%"
"Other";"10%";"10%";"9%";"12%"
"Don't know";"2%";"3%";"1%";"2%"
""
Survey details
Country: United States
Number of respondents: 59934
Age of respondents: 18 to 64 years old
Type of respondents: residential online population
Survey time period: 03 January 2022 to 16 December 2022
As of: 11 April 2023
