"Sep=;"
Consumer Insights Global - United States of America 2022 Update 4
Filter: -

"Age (basic)"
"How old are you? (single-pick) Base: all respondents"
""
"Age (basic) Question: How old are you? (single-pick) Base: all respondents";"Household income (low, medium, high) Question: Recode based on Monthly/annual household income (local currency) (single-pick) Base: respondents who gave information about their income";"";"";""
"Answers";"Total - Household income (low, medium, high)";"High income (top 33% of households)";"Medium income (mid 33% of households)";"Low income (bottom 33% of households)"
"Base";"100%";"100%";"100%";"100%"
"18 - 29 years";"23%";"17%";"23%";"29%"
"30 - 49 years";"46%";"54%";"44%";"41%"
"50 - 64 years";"31%";"29%";"33%";"30%"
""
"Ethnicity - United States"
"Which of the following best describes you? (single-pick) Base: all respondents"
""
"Ethnicity - United States Question: Which of the following best describes you? (single-pick) Base: all respondents";"Household income (low, medium, high) Question: Recode based on Monthly/annual household income (local currency) (single-pick) Base: respondents who gave information about their income";"";"";""
"Answers";"Total - Household income (low, medium, high)";"High income (top 33% of households)";"Medium income (mid 33% of households)";"Low income (bottom 33% of households)"
"Base";"100%";"100%";"100%";"100%"
"American Indian or Alaskan Native";"0%";"0%";"0%";"0%"
"Asian";"5%";"5%";"5%";"4%"
"Black or African American";"14%";"9%";"14%";"18%"
"Native Hawaiian or other Pacific Islander";"0%";"0%";"0%";"0%"
"White / Caucasian";"72%";"79%";"71%";"65%"
"Other (ethnicities with a share of less than 1%)";"4%";"3%";"5%";"5%"
"Multiple ethnicities";"3%";"2%";"3%";"3%"
"Would rather not say";"2%";"1%";"2%";"3%"
""
"Music and show preferences by genre"
"Recode based on Radio content preferences by genre and Digital audio preferences by genre (music or podcasts) (multi-pick) Base: respondents who listen to the radio or digital music content (Media & digital media, Video games)"
""
"Music and show preferences by genre Question: Recode based on Radio content preferences by genre and Digital audio preferences by genre (music or podcasts) (multi-pick) Base: respondents who listen to the radio or digital music content (Media & digital media, Video games)";"Household income (low, medium, high) Question: Recode based on Monthly/annual household income (local currency) (single-pick) Base: respondents who gave information about their income";"";"";""
"Answers (12/17)";"Total - Household income (low, medium, high)";"High income (top 33% of households)";"Medium income (mid 33% of households)";"Low income (bottom 33% of households)"
"Base";"100%";"100%";"100%";"100%"
"Classical music";"25%";"34%";"19%";"21%"
"Country music";"41%";"42%";"40%";"39%"
"Dance / electronic music";"26%";"29%";"22%";"26%"
"Folk music (only shown to respondents in the United Kingdom, and the United States)";"13%";"18%";"11%";"11%"
"Jazz and blues";"20%";"26%";"18%";"17%"
"Pop / adult contemporary music";"42%";"41%";"44%";"41%"
"Religious";"16%";"17%";"15%";"16%"
"Rock / alternative / indie music";"48%";"47%";"51%";"46%"
"Urban music (hip hop, R&B, etc.)";"38%";"33%";"39%";"42%"
"World music";"13%";"16%";"11%";"11%"
"Other";"10%";"7%";"10%";"13%"
"Don't know";"1%";"1%";"1%";"2%"
""
"State - United States"
"Where do you currently live? (single-pick) Base: all respondents"
""
