Genre,Total - Household income ,High income ,Medium income,Low income 
Classical music,25%,34%,19%,21%
Country music,41%,42%,40%,39%
Dance / electronic music,26%,29%,22%,26%
"Folk music (only shown to respondents in the United Kingdom, and the United States)",13%,18%,11%,11%
Jazz and blues,20%,26%,18%,17%
Pop / adult contemporary music,42%,41%,44%,41%
Religious,16%,17%,15%,16%
Rock / alternative / indie music,48%,47%,51%,46%
"Urban music (hip hop, R&B, etc.)",38%,33%,39%,42%
World music,13%,16%,11%,11%
Other,10%,7%,10%,13%
Don't know,1%,1%,1%,2%
